"custom_product_code","artwork_numeric_id","source_file","source_line","image_type","image_column","image_reference","resolved_image_filename","resolved_image_path","exists","used_fallback","reason"
"SAF2026-77","77","cafe24-products-63-109.csv","16","small","이미지등록(축소)","","77.jpg","public/images/artworks/77.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-78","78","cafe24-products-63-109.csv","17","detail","이미지등록(상세)","","78.jpg","public/images/artworks/78.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-78","78","cafe24-products-63-109.csv","17","list","이미지등록(목록)","","78.jpg","public/images/artworks/78.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-78","78","cafe24-products-63-109.csv","17","tiny","이미지등록(작은목록)","","78.jpg","public/images/artworks/78.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-78","78","cafe24-products-63-109.csv","17","small","이미지등록(축소)","","78.jpg","public/images/artworks/78.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-79","79","cafe24-products-63-109.csv","18","detail","이미지등록(상세)","","79.jpg","public/images/artworks/79.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-79","79","cafe24-products-63-109.csv","18","list","이미지등록(목록)","","79.jpg","public/images/artworks/79.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-79","79","cafe24-products-63-109.csv","18","tiny","이미지등록(작은목록)","","79.jpg","public/images/artworks/79.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-79","79","cafe24-products-63-109.csv","18","small","이미지등록(축소)","","79.jpg","public/images/artworks/79.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-80","80","cafe24-products-63-109.csv","19","detail","이미지등록(상세)","","80.jpg","public/images/artworks/80.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-80","80","cafe24-products-63-109.csv","19","list","이미지등록(목록)","","80.jpg","public/images/artworks/80.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-80","80","cafe24-products-63-109.csv","19","tiny","이미지등록(작은목록)","","80.jpg","public/images/artworks/80.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-80","80","cafe24-products-63-109.csv","19","small","이미지등록(축소)","","80.jpg","public/images/artworks/80.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-81","81","cafe24-products-63-109.csv","20","detail","이미지등록(상세)","","81.jpg","public/images/artworks/81.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-81","81","cafe24-products-63-109.csv","20","list","이미지등록(목록)","","81.jpg","public/images/artworks/81.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-81","81","cafe24-products-63-109.csv","20","tiny","이미지등록(작은목록)","","81.jpg","public/images/artworks/81.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-81","81","cafe24-products-63-109.csv","20","small","이미지등록(축소)","","81.jpg","public/images/artworks/81.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-82","82","cafe24-products-63-109.csv","21","detail","이미지등록(상세)","","82.jpg","public/images/artworks/82.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-82","82","cafe24-products-63-109.csv","21","list","이미지등록(목록)","","82.jpg","public/images/artworks/82.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-82","82","cafe24-products-63-109.csv","21","tiny","이미지등록(작은목록)","","82.jpg","public/images/artworks/82.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-82","82","cafe24-products-63-109.csv","21","small","이미지등록(축소)","","82.jpg","public/images/artworks/82.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-83","83","cafe24-products-63-109.csv","22","detail","이미지등록(상세)","","83.jpg","public/images/artworks/83.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-83","83","cafe24-products-63-109.csv","22","list","이미지등록(목록)","","83.jpg","public/images/artworks/83.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-83","83","cafe24-products-63-109.csv","22","tiny","이미지등록(작은목록)","","83.jpg","public/images/artworks/83.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-83","83","cafe24-products-63-109.csv","22","small","이미지등록(축소)","","83.jpg","public/images/artworks/83.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-84","84","cafe24-products-63-109.csv","23","detail","이미지등록(상세)","","84.jpg","public/images/artworks/84.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-84","84","cafe24-products-63-109.csv","23","list","이미지등록(목록)","","84.jpg","public/images/artworks/84.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-84","84","cafe24-products-63-109.csv","23","tiny","이미지등록(작은목록)","","84.jpg","public/images/artworks/84.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-84","84","cafe24-products-63-109.csv","23","small","이미지등록(축소)","","84.jpg","public/images/artworks/84.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-85","85","cafe24-products-63-109.csv","24","detail","이미지등록(상세)","","85.jpg","public/images/artworks/85.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-85","85","cafe24-products-63-109.csv","24","list","이미지등록(목록)","","85.jpg","public/images/artworks/85.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-85","85","cafe24-products-63-109.csv","24","tiny","이미지등록(작은목록)","","85.jpg","public/images/artworks/85.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-85","85","cafe24-products-63-109.csv","24","small","이미지등록(축소)","","85.jpg","public/images/artworks/85.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-86","86","cafe24-products-63-109.csv","25","detail","이미지등록(상세)","","86.jpg","public/images/artworks/86.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-86","86","cafe24-products-63-109.csv","25","list","이미지등록(목록)","","86.jpg","public/images/artworks/86.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-86","86","cafe24-products-63-109.csv","25","tiny","이미지등록(작은목록)","","86.jpg","public/images/artworks/86.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-86","86","cafe24-products-63-109.csv","25","small","이미지등록(축소)","","86.jpg","public/images/artworks/86.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-87","87","cafe24-products-63-109.csv","26","detail","이미지등록(상세)","","87.jpg","public/images/artworks/87.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-87","87","cafe24-products-63-109.csv","26","list","이미지등록(목록)","","87.jpg","public/images/artworks/87.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-87","87","cafe24-products-63-109.csv","26","tiny","이미지등록(작은목록)","","87.jpg","public/images/artworks/87.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-87","87","cafe24-products-63-109.csv","26","small","이미지등록(축소)","","87.jpg","public/images/artworks/87.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-88","88","cafe24-products-63-109.csv","27","detail","이미지등록(상세)","","88.jpg","public/images/artworks/88.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-88","88","cafe24-products-63-109.csv","27","list","이미지등록(목록)","","88.jpg","public/images/artworks/88.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-88","88","cafe24-products-63-109.csv","27","tiny","이미지등록(작은목록)","","88.jpg","public/images/artworks/88.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-88","88","cafe24-products-63-109.csv","27","small","이미지등록(축소)","","88.jpg","public/images/artworks/88.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-89","89","cafe24-products-63-109.csv","28","detail","이미지등록(상세)","","89.jpg","public/images/artworks/89.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-89","89","cafe24-products-63-109.csv","28","list","이미지등록(목록)","","89.jpg","public/images/artworks/89.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-89","89","cafe24-products-63-109.csv","28","tiny","이미지등록(작은목록)","","89.jpg","public/images/artworks/89.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-89","89","cafe24-products-63-109.csv","28","small","이미지등록(축소)","","89.jpg","public/images/artworks/89.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-90","90","cafe24-products-63-109.csv","29","detail","이미지등록(상세)","","90.jpg","public/images/artworks/90.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-90","90","cafe24-products-63-109.csv","29","list","이미지등록(목록)","","90.jpg","public/images/artworks/90.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-90","90","cafe24-products-63-109.csv","29","tiny","이미지등록(작은목록)","","90.jpg","public/images/artworks/90.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-90","90","cafe24-products-63-109.csv","29","small","이미지등록(축소)","","90.jpg","public/images/artworks/90.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-91","91","cafe24-products-63-109.csv","30","detail","이미지등록(상세)","","91.jpg","public/images/artworks/91.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-91","91","cafe24-products-63-109.csv","30","list","이미지등록(목록)","","91.jpg","public/images/artworks/91.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-91","91","cafe24-products-63-109.csv","30","tiny","이미지등록(작은목록)","","91.jpg","public/images/artworks/91.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-91","91","cafe24-products-63-109.csv","30","small","이미지등록(축소)","","91.jpg","public/images/artworks/91.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-92","92","cafe24-products-63-109.csv","31","detail","이미지등록(상세)","","92.jpg","public/images/artworks/92.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-92","92","cafe24-products-63-109.csv","31","list","이미지등록(목록)","","92.jpg","public/images/artworks/92.jpg","Y","Y","empty_reference_stem_fallback"
